ticker,ticker_symbol,sell_date,sell_row_id,lot_id,matched_shares,entry_date,entry_price,sell_price,entry_fx,sell_fx,local_realized,fx_realized,total_realized
ADBE,NasdaqGS:ADBE,OPEN,,94,15.0,2025-10-15,331.32,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,98,14.8,2025-11-10,328.0202702703,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,100,15.0,2025-11-20,318.5,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,103,14.53,2025-12-10,344.1135581555,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,109,20.0,2026-01-16,303.58,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,110,34.0,2026-01-27,303.6,235.69000244140625,1.0,1.0,,,
ADBE,NasdaqGS:ADBE,OPEN,,111,18.0,2026-01-29,288.33,235.69000244140625,1.0,1.0,,,
UNH,NYSE:UNH,OPEN,,87,45.0,2025-09-17,341.47,314.2799987792969,1.0,1.0,,,
UNH,NYSE:UNH,OPEN,,89,15.0,2025-09-22,340.47,314.2799987792969,1.0,1.0,,,
UNH,UNH,OPEN,,96,15.0,2025-11-03,331.54,314.2799987792969,1.0,1.0,,,
UNH,UNH,OPEN,,101,16.0,2025-11-21,321.86,314.2799987792969,1.0,1.0,,,
UNH,UNH,OPEN,,105,15.4115,2025-12-10,324.43,314.2799987792969,1.0,1.0,,,
V,NYSE:V,OPEN,,88,88.21,2025-09-17,339.9500056683,311.42498779296875,1.0,1.0,,,
BRK.B,NYSE:BRK.B,OPEN,,90,31.0,2025-09-25,494.7,477.5899963378906,1.0,1.0,,,
BRK.B,NYSE:BRK.B,OPEN,,92,5.39,2025-10-07,499.8126159555,477.5899963378906,1.0,1.0,,,
BRK.B,NYSE:BRK.B,OPEN,,97,5.0,2025-11-06,492.69,477.5899963378906,1.0,1.0,,,
BRK.B,BRK.B,OPEN,,102,5.0711,2025-12-08,492.99,477.5899963378906,1.0,1.0,,,
BRK.B,NYSE:BRK.B,OPEN,,107,5.0,2026-01-02,494.4,477.5899963378906,1.0,1.0,,,
SPGI,NYSE:SPGI,OPEN,,91,31.0,2025-10-06,479.48,425.239990234375,1.0,1.0,,,
SPGI,NYSE:SPGI,OPEN,,112,21.0,2026-02-02,471.39,425.239990234375,1.0,1.0,,,
